ts,open,high,low,close
1788316680,4360.60009765625,4362.10009765625,4359.39990234375,4359.60009765625
1788316740,4359.39990234375,4360.7001953125,4359.2001953125,4359.89990234375
1788316800,4359.10009765625,4361.0,4358.39990234375,4360.10009765625
1788316860,4360.7998046875,4360.7998046875,4358.7001953125,4359.7001953125
1788316920,4359.2998046875,4360.0,4359.2001953125,4359.5
1788316980,4359.10009765625,4360.0,4357.0,4359.89990234375
1788317040,4360.0,4360.2001953125,4356.2001953125,4356.39990234375
1788317100,4357.0,4357.7001953125,4356.10009765625,4356.89990234375
1788317160,4356.60009765625,4358.2998046875,4356.60009765625,4357.39990234375
1788317220,4357.0,4357.2998046875,4356.60009765625,4357.2001953125
1788317280,4356.60009765625,4358.2998046875,4356.5,4357.2001953125
1788317340,4357.2998046875,4357.89990234375,4357.2998046875,4357.89990234375
1788317400,4357.89990234375,4357.89990234375,4355.0,4356.0
1788317460,4355.7001953125,4355.7001953125,4353.7998046875,4354.7998046875
1788317520,4355.10009765625,4355.60009765625,4354.7001953125,4355.5
1788317580,4355.2001953125,4355.5,4354.7001953125,4354.89990234375
1788317640,4354.7001953125,4354.7001953125,4352.7998046875,4353.0
1788317700,4353.2001953125,4353.39990234375,4350.7998046875,4352.39990234375
1788317760,4352.5,4353.0,4350.60009765625,4351.0
1788317820,4351.0,4351.0,4348.5,4348.60009765625
1788317880,4348.7998046875,4349.0,4347.2001953125,4348.0
1788317940,4348.2001953125,4350.10009765625,4347.89990234375,4350.0
1788318000,4350.0,4350.10009765625,4348.2001953125,4349.10009765625
1788318060,4349.5,4351.39990234375,4349.5,4350.39990234375
1788318120,4350.10009765625,4350.89990234375,4346.7001953125,4346.89990234375
1788318180,4347.39990234375,4347.89990234375,4346.2998046875,4346.89990234375
1788318240,4347.10009765625,4349.2998046875,4347.10009765625,4348.2001953125
1788318300,4348.0,4348.0,4345.39990234375,4345.39990234375
1788318360,4345.5,4347.0,4345.10009765625,4345.2001953125
1788318420,4345.5,4346.5,4344.5,4346.5
1788318480,4346.5,4348.2001953125,4346.39990234375,4347.60009765625
1788318540,4347.2001953125,4347.2001953125,4343.89990234375,4346.5
1788318600,4346.39990234375,4348.0,4345.7001953125,4347.89990234375
1788318660,4347.89990234375,4348.39990234375,4346.2998046875,4347.60009765625
1788318720,4347.39990234375,4347.7998046875,4345.10009765625,4346.2998046875
1788318780,4346.2001953125,4347.7001953125,4345.7998046875,4347.7001953125
1788318840,4348.0,4348.60009765625,4347.5,4348.0
1788318900,4348.10009765625,4349.7001953125,4347.5,4347.89990234375
1788318960,4348.2001953125,4348.2998046875,4344.89990234375,4344.89990234375
1788319020,4344.89990234375,4346.39990234375,4344.60009765625,4344.89990234375
1788319080,4345.10009765625,4346.60009765625,4344.89990234375,4345.5
1788319140,4345.60009765625,4346.60009765625,4343.60009765625,4344.60009765625
1788319200,4344.7001953125,4344.7001953125,4341.0,4341.39990234375
1788319260,4341.5,4341.7001953125,4339.0,4341.2998046875
1788319320,4341.60009765625,4342.60009765625,4340.2998046875,4341.2998046875
1788319380,4341.2001953125,4341.7001953125,4338.2001953125,4338.39990234375
1788319440,4338.5,4341.2001953125,4336.39990234375,4340.89990234375
1788319500,4340.7998046875,4344.2001953125,4340.10009765625,4344.0
1788319560,4344.0,4345.7998046875,4343.89990234375,4345.2001953125
1788319620,4345.2001953125,4345.7998046875,4344.2998046875,4344.5
1788319680,4344.5,4344.5,4340.7998046875,4341.5
1788319740,4341.39990234375,4341.5,4340.39990234375,4340.7001953125
1788319800,4340.60009765625,4340.7001953125,4337.2001953125,4337.7001953125
1788319860,4337.89990234375,4339.0,4337.2001953125,4338.60009765625
1788319920,4338.39990234375,4338.89990234375,4337.0,4337.60009765625
1788319980,4337.7001953125,4337.7001953125,4335.7001953125,4336.0
1788320040,4336.10009765625,4336.10009765625,4331.2001953125,4332.2001953125
1788320100,4331.60009765625,4332.10009765625,4329.2001953125,4331.2001953125
1788320160,4330.89990234375,4333.0,4330.2998046875,4331.7001953125
1788320220,4331.7998046875,4333.10009765625,4331.10009765625,4333.10009765625
1788320280,4333.60009765625,4337.60009765625,4333.5,4337.60009765625
1788320340,4337.60009765625,4338.7998046875,4336.60009765625,4338.10009765625
1788320400,4338.39990234375,4338.7001953125,4335.7998046875,4336.2001953125
1788320460,4336.39990234375,4337.2001953125,4333.60009765625,4334.2001953125
1788320520,4334.2998046875,4334.89990234375,4332.7998046875,4333.7001953125
1788320580,4333.39990234375,4334.2001953125,4332.10009765625,4334.2001953125
1788320640,4333.89990234375,4335.7998046875,4333.89990234375,4335.39990234375
1788320700,4335.5,4339.2998046875,4335.2998046875,4338.5
1788320760,4338.5,4341.39990234375,4338.39990234375,4341.2001953125
1788320820,4340.7001953125,4343.10009765625,4340.5,4342.7998046875
1788320880,4342.60009765625,4345.5,4342.5,4344.7998046875
1788320940,4345.0,4346.5,4344.7001953125,4346.0
1788321000,4346.0,4346.10009765625,4344.39990234375,4345.39990234375
1788321060,4345.5,4345.5,4343.2998046875,4344.39990234375
1788321120,4344.60009765625,4347.0,4343.60009765625,4346.10009765625
